transaction_hash,user_address,timestamp,degen_swapped_value,min_ath_swapped_for
0x77c0af1f94a24d48e2bacbd15e95e2be5223a19d2c1061165f3e90fec5b6df17,0xb70BE06a15A7e823d687Ef6b3792729D4b4B556d,2024-04-20T18:15:46.000000Z,4500000000000000000000,15703226330949167745105
0xf4d4bad1cf38873f670a443b594cc0a4401111b26d24d2f27bb3b313a23e2a84,0x8e14eEE30FDB70255e2912778b3DCC1Ecd5AB2B4,2024-04-20T17:42:44.000000Z,4000000000000000000000,18354281299988028589720
0xc5f1285dc9e0a83f46f773a7ad2e7b9cdcc4b591a77dd6fccbeb08ecdfecbf05,0x0b00a6F4430737134c7D8e32FC9318cEbd62B9e8,2024-04-20T17:24:23.000000Z,399000000000000000000,1861556712654913445746
0xe9fa190ec7a9d219a0899cbc075ca922291976ac7486887ace7818edbd418ab2,0x5259dAf51a4311637216Ece9c005e6f551114A4B,2024-04-20T16:48:16.000000Z,270000000000000000000,1273385875752527727074
0x1ebefc08fccf8153528a71df900faf2ac4bc55aa65a0c62c01a8a23c77e85346,0x74b35A2FD229534d71C67C13Aa1C075b96a1E7dC,2024-04-20T16:25:20.000000Z,174635640651680182204,807217103365732074627
0x68f87487b76a35c3313be3884a84e0e3f6982c8a731a05269295d63c46f8d14d,0xB9f9954DC0Ac82009444CeDA38F8b6e0538B2C11,2024-04-20T16:21:51.000000Z,4828988357380268410000,21961075849640324434972
0x209966daa895077e50a15816472a38e2cf7ead6d5a30c6e100df249c4048147c,0x0b825cFb066825FbB9164ab100eD973fbFDB86d4,2024-04-20T15:55:13.000000Z,700000000000000000000,3277160649296024285105
0x94ed7e08e05e6efad99bfd715cbc3b28af999ab1e4b16e2173bd5c8ace16044d,0x8E5d97337311d88D3BBF03aB7a6f99F5C80B5006,2024-04-20T15:02:28.000000Z,250000000000000000000,1244272883011436089341
0xab425ec82e1de2df6d87fcef4e9fca472f4bc7073b29a30c6e9c893d4d7fe0a9,0x8E5d97337311d88D3BBF03aB7a6f99F5C80B5006,2024-04-20T14:47:57.000000Z,20000000000000000000,99602810503141616804
0x5d6f183be25d52cbbcdb3bdfbdafd27c42130231f27f0e57edaf03d43a4c4292,0x9187a235c9BF67B19C9276D874Fd493Fa7c79654,2024-04-20T14:46:56.000000Z,162000000000000000000,806809876601859404168
